OCORRÊNCIA;ASSUNTO;ITEM;MOTIVO;DATA ABERTURA;DATA FINALIZADA;ORIGEM;NATUREZA;REABERTURA
12314669;CONTAS;CONTA POUPANÇA - PF;EXTRATO - CLAREZA DAS INFORMAÇÕES;23/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;SIM
12322092;CARTÕES;CARTO DE DBITO;CARTÃO - EMISSÃO / ENVIO;20/09/2021;21/09/2021;INTERNET;RECLAMAÇÃO;SIM
12322309;HABITAÇÃO;FINANCIAMENTO HABITACIONAL;COBRANÇA INDEVIDA;16/09/2021;20/09/2021;INTERNET;RECLAMAÇÃO;SIM
12327066;SERVIÇOS BANCÁRIOS;TED - TRANSFERÊNCIA DE VALORES;DEMORA OU NO EFETIVAÇÃO DO CRÉDITO PARA OUTRO BANCO;17/09/2021;23/09/2021;INTERNET;RECLAMAÇÃO;SIM
12327087;HABITAÇÃO;FINANCIAMENTO HABITACIONAL;PORTABILIDADE;17/09/2021;21/09/2021;INTERNET;RECLAMAÇÃO;SIM
12328957;CANAIS DE ATENDIMENTO;SALAS DE AUTO ATENDIMENTO - AGÊNCIA;EQUIPAMENTO INOPERANTE;21/09/2021;22/09/2021;TELEFONE;RECLAMAÇÃO;SIM
12336209;CARTÕES;CARTO DE DBITO;CARTÃO - EMISSÃO / ENVIO;21/09/2021;22/09/2021;INTERNET;RECLAMAÇÃO;SIM
12338627;EMPRÉSTIMOS E FINANCIAMENTOS;EMPRSTIMOS - PJ - CONCESSO;CONCESSÃO;22/09/2021;23/09/2021;EMAIL;RECLAMAÇÃO;SIM
12341136;EMPRÉSTIMOS E FINANCIAMENTOS;FIES;COBRANÇA - BOLETO DE PAGAMENTO;21/09/2021;22/09/2021;INTERNET;RECLAMAÇÃO;SIM
12343417;HABITAÇÃO;FINANCIAMENTO HABITACIONAL;LIBERAÇÃO DO FINANCIAMENTO;22/09/2021;23/09/2021;INTERNET;RECLAMAÇÃO;SIM
12344055;APLICAÇÕES E INVESTIMENTOS;APLICAÇÕES  FINANCEIRAS - FUNDOS DE INVESTIMENTO;APLICAO NO AUTORIZADA;17/09/2021;23/09/2021;TELEFONE;RECLAMAÇÃO;SIM
12347683;FGTS;FGTS - LIBERAÇÃO DO SALDO;CRITRIO PARA PAGAMENTO;21/09/2021;23/09/2021;INTERNET;RECLAMAÇÃO;SIM
12350644;HABITAÇÃO;FINANCIAMENTO HABITACIONAL;REVISO/REDUO DE TAXA DE JUROS;16/09/2021;20/09/2021;INTERNET;RECLAMAÇÃO;SIM
